"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 19 03:37:33 UTC 2023","Tue Dec 19 03:37:50 UTC 2023","17689","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Tue Dec 19 03:51:47 UTC 2023","Tue Dec 19 03:51:50 UTC 2023","2901","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Tue Dec 19 03:57:46 UTC 2023","Tue Dec 19 03:58:00 UTC 2023","14432","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Tue Dec 19 02:57:00 UTC 2023","Tue Dec 19 02:57:00 UTC 2023","572","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Tue Dec 19 02:48:58 UTC 2023","Tue Dec 19 02:49:24 UTC 2023","26196","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","10. Complete Risk Profile and navigate to Review",""
"passed","Tue Dec 19 03:35:27 UTC 2023","Tue Dec 19 03:35:27 UTC 2023","761","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"passed","Tue Dec 19 03:16:47 UTC 2023","Tue Dec 19 03:16:50 UTC 2023","2592","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","8. Navigate from Applicants to Bank Details",""
"passed","Tue Dec 19 03:20:51 UTC 2023","Tue Dec 19 03:20:53 UTC 2023","2532","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Tue Dec 19 02:56:51 UTC 2023","Tue Dec 19 02:57:00 UTC 2023","8525","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Tue Dec 19 03:23:07 UTC 2023","Tue Dec 19 03:23:14 UTC 2023","6947","","6. Company Account","","","","2. Create a Company Account",""
"passed","Tue Dec 19 02:49:48 UTC 2023","Tue Dec 19 02:49:53 UTC 2023","4441","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","11. Scrape results from Review and navigate to Applicants",""
"passed","Tue Dec 19 03:58:00 UTC 2023","Tue Dec 19 03:58:12 UTC 2023","11481","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"passed","Tue Dec 19 02:56:48 UTC 2023","Tue Dec 19 02:56:51 UTC 2023","3073","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","7. Review Review Page",""
"passed","Tue Dec 19 03:37:52 UTC 2023","Tue Dec 19 03:37:52 UTC 2023","231","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Tue Dec 19 02:54:39 UTC 2023","Tue Dec 19 02:54:58 UTC 2023","19293","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","2. Create new Personal Super Account",""
"passed","Tue Dec 19 02:48:24 UTC 2023","Tue Dec 19 02:48:33 UTC 2023","8400","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","7. Complete Screen and Tilts",""
"passed","Tue Dec 19 03:01:00 UTC 2023","Tue Dec 19 03:01:03 UTC 2023","2969","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Tue Dec 19 02:55:21 UTC 2023","Tue Dec 19 02:55:28 UTC 2023","6784","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Tue Dec 19 03:57:16 UTC 2023","Tue Dec 19 03:57:29 UTC 2023","12862","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Tue Dec 19 02:47:31 UTC 2023","Tue Dec 19 02:47:37 UTC 2023","6674","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","3. Create new Individual investment account",""
"passed","Tue Dec 19 02:47:14 UTC 2023","Tue Dec 19 02:47:31 UTC 2023","16636","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Tue Dec 19 03:20:35 UTC 2023","Tue Dec 19 03:20:39 UTC 2023","3352","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Tue Dec 19 03:51:50 UTC 2023","Tue Dec 19 03:52:12 UTC 2023","22040","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"skipped","Tue Dec 19 04:41:46 UTC 2023","Tue Dec 19 04:41:46 UTC 2023","0","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"passed","Tue Dec 19 03:23:56 UTC 2023","Tue Dec 19 03:23:59 UTC 2023","2989","","6. Company Account","","","","8. Navigate from Applicants to Final Review",""
"passed","Tue Dec 19 02:50:51 UTC 2023","Tue Dec 19 02:50:56 UTC 2023","5181","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","13. Complete Bank Details",""
"passed","Tue Dec 19 03:58:12 UTC 2023","Tue Dec 19 03:58:14 UTC 2023","2038","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
